#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714668E-02   0.128165E+08   0.128112E+08   0.130954E+05   0.130954E+05   0.100384E+08   0.127657E+08   0.128157E+08   0.127657E+08  -0.457683E+00   0.973335E+07   0.973327E+07   0.349149E+01
   0.722653E-02   0.127863E+08   0.127809E+08   0.127760E+05   0.127759E+05   0.998410E+07   0.127350E+08   0.127854E+08   0.127350E+08  -0.456583E+00   0.971010E+07   0.971001E+07   0.351953E+01
   0.730727E-02   0.127558E+08   0.127503E+08   0.124639E+05   0.124639E+05   0.992955E+07   0.127041E+08   0.127549E+08   0.127041E+08  -0.455474E+00   0.968664E+07   0.968655E+07   0.354773E+01
   0.738891E-02   0.127250E+08   0.127194E+08   0.121592E+05   0.121592E+05   0.987470E+07   0.126729E+08   0.127241E+08   0.126729E+08  -0.454354E+00   0.966297E+07   0.966288E+07   0.357609E+01
   0.747147E-02   0.126940E+08   0.126883E+08   0.118616E+05   0.118615E+05   0.981957E+07   0.126414E+08   0.126931E+08   0.126414E+08  -0.453225E+00   0.963910E+07   0.963901E+07   0.360462E+01
   0.755495E-02   0.126627E+08   0.126568E+08   0.115709E+05   0.115709E+05   0.976414E+07   0.126096E+08   0.126617E+08   0.126096E+08  -0.452086E+00   0.961502E+07   0.961492E+07   0.363330E+01
   0.763936E-02   0.126311E+08   0.126251E+08   0.112870E+05   0.112870E+05   0.970843E+07   0.125775E+08   0.126301E+08   0.125776E+08  -0.450937E+00   0.959072E+07   0.959063E+07   0.366214E+01
   0.772472E-02   0.125992E+08   0.125931E+08   0.110098E+05   0.110097E+05   0.965244E+07   0.125452E+08   0.125982E+08   0.125452E+08  -0.449778E+00   0.956622E+07   0.956612E+07   0.369114E+01
   0.781102E-02   0.125671E+08   0.125608E+08   0.107390E+05   0.107390E+05   0.959618E+07   0.125126E+08   0.125661E+08   0.125126E+08  -0.448609E+00   0.954150E+07   0.954140E+07   0.372030E+01
   0.789830E-02   0.125346E+08   0.125283E+08   0.104746E+05   0.104746E+05   0.953964E+07   0.124797E+08   0.125336E+08   0.124797E+08  -0.447430E+00   0.951657E+07   0.951647E+07   0.374961E+01
   0.798655E-02   0.125019E+08   0.124955E+08   0.102164E+05   0.102164E+05   0.948283E+07   0.124466E+08   0.125009E+08   0.124466E+08  -0.446242E+00   0.949143E+07   0.949133E+07   0.377907E+01
   0.807578E-02   0.124689E+08   0.124623E+08   0.996428E+04   0.996424E+04   0.942577E+07   0.124131E+08   0.124679E+08   0.124131E+08  -0.445043E+00   0.946607E+07   0.946597E+07   0.380868E+01
   0.816601E-02   0.124357E+08   0.124289E+08   0.971806E+04   0.971802E+04   0.936845E+07   0.123794E+08   0.124346E+08   0.123794E+08  -0.443833E+00   0.944050E+07   0.944039E+07   0.383844E+01
   0.825725E-02   0.124021E+08   0.123952E+08   0.947763E+04   0.947759E+04   0.931088E+07   0.123454E+08   0.124010E+08   0.123454E+08  -0.442614E+00   0.941471E+07   0.941461E+07   0.386834E+01
   0.834951E-02   0.123683E+08   0.123613E+08   0.924286E+04   0.924282E+04   0.925306E+07   0.123111E+08   0.123672E+08   0.123111E+08  -0.441385E+00   0.938871E+07   0.938860E+07   0.389839E+01
   0.844280E-02   0.123341E+08   0.123270E+08   0.901362E+04   0.901358E+04   0.919501E+07   0.122765E+08   0.123330E+08   0.122765E+08  -0.440145E+00   0.936249E+07   0.936238E+07   0.392858E+01
   0.853713E-02   0.122997E+08   0.122924E+08   0.878978E+04   0.878975E+04   0.913673E+07   0.122417E+08   0.122986E+08   0.122417E+08  -0.438895E+00   0.933605E+07   0.933594E+07   0.395890E+01
   0.863252E-02   0.122650E+08   0.122576E+08   0.857122E+04   0.857119E+04   0.907822E+07   0.122065E+08   0.122638E+08   0.122065E+08  -0.437635E+00   0.930940E+07   0.930928E+07   0.398937E+01
   0.872897E-02   0.122300E+08   0.122224E+08   0.835783E+04   0.835780E+04   0.901950E+07   0.121711E+08   0.122288E+08   0.121711E+08  -0.436364E+00   0.928252E+07   0.928240E+07   0.401996E+01
